Class Number,Subject Name,Subject's Type,Which Class Video,Class Start Time,Class End Time,YouTube ID,YouTube Start Time,YouTube End Time,They say clip demonstrates subject has
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:00:00,0:00:42,6DlrqeWrczs,0:34:04,0:34:22,Ni
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:00:42,0:01:52,6DlrqeWrczs,0:34:22,0:34:53,"Ni, Consume last, ExxJ"
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:01:52,0:02:39,6DlrqeWrczs,0:34:53,0:35:11,"Ni, NF, Fe"
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:02:39,0:03:38,6DlrqeWrczs,0:35:11,0:35:17,"Consume last, N"
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:03:38,0:04:38,6DlrqeWrczs,0:35:17,0:35:25,audio (MF)
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:04:38,0:05:43,6DlrqeWrczs,0:35:07,0:35:36,"Fe, Ni"
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:05:43,0:07:06,6DlrqeWrczs,0:35:36,0:35:59,Fe
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:07:06,0:08:38,6DlrqeWrczs,0:35:34,0:35:57,"Play, Consume last"
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:08:38,0:09:21,6DlrqeWrczs,0:35:50,0:36:15,NF
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:09:21,0:10:38,6DlrqeWrczs,0:36:15,0:37:04,Ti demon
0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:10:38,0:11:10,6DlrqeWrczs,0:37:04,0:37:11,"Ti demon, Fe, ExxJ"
1,Tim Cook,FF-Ti/Ne-CP/S(B),2/2,0:08:21,0:16:30,tGqLTFv7v7c,0:00:19,0:03:34,"NT, T, Ni"
1,Tim Cook,FF-Ti/Ne-CP/S(B),2/2,0:18:12,0:19:40,tGqLTFv7v7c,0:03:37,0:04:05,"NT, Ni"
1,Tim Cook,FF-Ti/Ne-CP/S(B),2/2,0:20:56,0:27:00,tGqLTFv7v7c,0:06:33,0:09:29,NT
1,Tim Cook,FF-Ti/Ne-CP/S(B),2/2,0:29:42,0:31:49,tGqLTFv7v7c,0:18:05,0:19:19,"T, D, Di"
1,Tim Cook,FF-Ti/Ne-CP/S(B),2/2,0:37:34,0:38:40,tGqLTFv7v7c,0:24:10,0:27:16,Ti
1,Tim Cook,FF-Ti/Ne-CP/S(B),2/2,0:38:41,0:40:06,yK2zzcjp2As,0:07:45,0:08:41,NT
2,Barack Obama,FF-Se/Ti-CS/P(B),1/4,0:25:52,0:30:01,RCb3CaLpfmk,0:03:17,0:05:00,"Sleep, De feminine"
2,Barack Obama,FF-Se/Ti-CS/P(B),1/4,0:33:00,0:38:34,PLHo6uyICVk,0:00:00,0:04:20,"De feminine, Sleep"
2,Barack Obama,FF-Se/Ti-CS/P(B),3/4,0:03:12,0:12:46,9uzJYlbhH54,0:05:03,0:06:36,"ST, DD, O"
3,Chris Evans,FF-Fi/Ne-CP/S(B),1/4,0:04:35,0:08:30,HqSoxMOrVeE,0:00:34,0:03:31,D
