Function/Animal/Modality,Class Number,Subject Name,Subject's Type,Which Class Video,Class Start Time,Class End Time,YouTube Link,YouTube End Time
audio (MF),0,Oprah Winfrey,MF-Fe/Ni-BP/S(C),1/1,0:03:38,0:04:38,https://youtu.be/6DlrqeWrczs?start=2117,0:35:25
Blast,6,Jordan Byers,FF-Se/Fi-CS/B(P),1/2,0:17:52,0:19:33,https://youtu.be/KXnhJ1pK7do?start=283,0:05:39
Blast,9,Chael Sonnen,MM-Fe/Si-BP/C(S),1/2,0:10:14,0:16:05,https://youtu.be/JyBsa6qX-HQ?start=0,0:03:36
Blast,13,Kristen Leo,FM-Te/Si-BP/S(C),2/2,0:24:48,0:28:30,https://youtu.be/Zd09pviGyeQ?start=315,0:06:53
Blast,14,Jessica McCabe,FF-Fe/Si-BP/C(S),1/2,0:20:21,0:26:18,https://youtu.be/JiwZQNYlGQI?start=780,0:17:06
Blast,18,Tony Horton,FF-Te/Se-PB/C(S),1/2,0:00:00,0:04:41,https://youtu.be/VgjmxlSSe7g?start=1245,0:24:31
Blast,23,Viola Davis,MM-Fe/Ni-BP/S(C),1/2,0:05:52,0:18:41,https://youtu.be/6_k4j3G2Ccs?start=0,0:01:00
Blast,23,Viola Davis,MM-Fe/Ni-BP/S(C),1/2,0:05:52,0:18:41,https://youtu.be/a-f4DDnGSBc?start=0,0:03:07
Blast,27,Tulsi Gabbard,MF-Si/Te-BS/P(C),1/2,0:04:18,0:09:28,https://youtu.be/oIb2lmHgd5s?start=1094,0:21:13
Blast,31,Jeff Bezos,FF-Ne/Ti-CS/B(P) ,1/2,0:08:15,0:17:10,https://youtu.be/SCpgKvZB_VQ?start=1226,0:22:49
Blast,33,Brene Brown,MF-Si/Te-BP/S(C),1/2,0:08:22,0:11:17,https://youtu.be/8-JXOnFOXQk?start=286,0:08:57
Blast,33,Brene Brown,MF-Si/Te-BP/S(C),2/2,0:05:12,0:15:21,https://youtu.be/TbsRU-crgsc?start=1584,0:27:50
Blast,35,Henry Rollins,MM-Ti/Ni-SB/P(C),1/2,0:29:37,0:33:06,https://youtu.be/6cCKoFqsN9A?start=385,0:07:31
Blast,35,Henry Rollins,MM-Ti/Ni-SB/P(C),2/2,0:05:41,0:16:39,https://youtu.be/8ZBzX-hcWNI?start=716,0:15:09
Blast,38,Criss Angel,MM-Fe/Ni-BP/C(S),1/2,0:18:40,0:26:13,https://youtu.be/g4-bT5uSsrM?start=123,0:03:46
Blast,39,Marie Forleo,FF-Ni/Te-BS/P(C),1/2,0:17:09,0:20:42,https://youtu.be/9nVpyqfyBSE?start=292,0:05:50
Blast,39,Marie Forleo,FF-Ni/Te-BS/P(C),2/2,0:00:06,0:10:20,https://youtu.be/6B6JlDRQBvY?start=1797,0:34:43
Blast,41,Neil deGrasse Tyson,MM-Ne/Ti-CP/B(S),2/2,0:00:00,0:03:27,https://youtu.be/9mLMxWhGSbs?start=7099,2:00:03
Blast,42,Michelle Obama,FM-Te/Ni-BP/S(C),1/2,0:16:15,0:21:03,https://youtu.be/i4OJL69hld4?start=202,0:04:02
Blast,48,Cesar Millan,MF-Ni/Fe-BS/P(C),1/2,0:01:22,0:08:33,https://youtu.be/sTgxWI608u8?start=79,0:02:33
Blast,48,Cesar Millan,MF-Ni/Fe-BS/P(C),2/2,0:15:20,0:20:17,https://youtu.be/sTgxWI608u8?start=1637,0:29:08
Blast,50,Mel Robbins,MM-Se/Te-PB/C(S),1/2,0:05:41,0:11:25,https://youtu.be/LCHPSo79rB4?start=924,0:18:59
Blast,52,Martha Stewart,FM-Si/Fi-SB/P(C),2/2,0:00:00,0:02:32,https://youtu.be/rRZgLfIBhI8?start=114,0:03:08
Blast,56,Tai Lopez,FF-Ni/Te-BS/P(C),1/2,0:05:18,0:10:45,https://youtu.be/As4Pt1ABZuY?start=0,0:01:49
Blast,56,Tai Lopez,FF-Ni/Te-BS/P(C),1/2,0:05:18,0:10:45,https://youtu.be/As4Pt1ABZuY?start=32407,0:11:01
Blast,56,Tai Lopez,FF-Ni/Te-BS/P(C),1/2,0:10:45,0:18:27,https://youtu.be/ncZrhxZg-Zs?start=0,0:20:01
Blast,56,Tai Lopez,FF-Ni/Te-BS/P(C),1/2,0:18:27,0:23:04,https://youtu.be/jbB-9jlebyk?start=0,0:02:49
Blast,57,Gretchen Rubin,FF-Ti/Si-SB/P(C),1/2,0:05:56,0:09:45,https://youtu.be/uHSizSVV-qA?start=103,0:02:42
Blast,58,Barbara Corcoran,FF-Fe/Ni-BP/S(C),1/2,0:00:40,0:05:55,https://youtu.be/I6vcH4pfnr8?start=4,0:03:09
Blast,65,James Clear,MM-Ni/Te-BS/P(C),1/2,0:16:18,0:20:11,https://youtu.be/xRse5I_p7tA?start=541,0:10:32
Blast,73,Dale Dye,MM-Te/Si-BP/C(S) ,1/2,0:03:05,0:08:19,https://youtu.be/qf--ieDCfvM?start=109,0:04:44
Blast,73,Dale Dye,MM-Te/Si-BP/C(S) ,1/2,0:08:19,0:11:39,https://youtu.be/TDhAovNgUzE?start=355,0:06:59
Blast,77,Hannah Hart,MM-Si/Fe-BP/C(S),2/2,0:07:17,0:11:30,https://youtu.be/maIqBhtTxrQ?start=136,0:03:49
Blast,77,Hannah Hart,MM-Si/Fe-BP/C(S),2/2,0:11:30,0:17:52,https://youtu.be/maIqBhtTxrQ?start=241,0:05:05
Blast,82,Novak Djokovic,MF-Ni/Ti-SB/P(C),1/2,0:24:50,0:28:03,https://youtu.be/uj2VlfpLwyM?start=259,0:04:24
Blast,83,Lisa Nichols,MF-Fe/Ni-BP/C(S),1/2,0:11:59,0:15:50,https://youtu.be/tSxhIp4l1DY?start=2723,0:46:39
